# r (Angstrom), g(r)
# Data from Holland-Moritz et al. (DOI: 10.1016/j.msea.2005.12.093)
# 2.04097e+0, 3.81878e-1
# 2.13240e+0, 3.50727e-1
2.13240e+0, 0.00000e+0 # Edit: Set to zero before first peak
2.21876e+0, 3.86463e-1
2.27590e+0, 4.55004e-1
2.31612e+0, 5.39076e-1
2.34575e+0, 6.06041e-1
2.37962e+0, 7.09064e-1
2.40078e+0, 7.79182e-1
2.42195e+0, 8.50222e-1
2.45158e+0, 9.75141e-1
2.46851e+0, 1.04074e+0
2.48121e+0, 1.08087e+0
2.49391e+0, 1.14315e+0
2.50661e+0, 1.20819e+0
2.52354e+0, 1.27339e+0
2.53624e+0, 1.33689e+0
2.55317e+0, 1.41162e+0
2.57010e+0, 1.47574e+0
2.58280e+0, 1.54032e+0
2.60397e+0, 1.63997e+0
2.61667e+0, 1.67871e+0
2.62937e+0, 1.74178e+0
2.64630e+0, 1.80084e+0
2.66746e+0, 1.88907e+0
2.69286e+0, 1.98133e+0
2.71826e+0, 2.04775e+0
2.74366e+0, 2.11695e+0
2.78176e+0, 2.18614e+0
2.85372e+0, 2.22875e+0
2.92356e+0, 2.17899e+0
2.95531e+0, 2.12433e+0
2.98918e+0, 2.04628e+0
3.01881e+0, 1.96656e+0
3.04844e+0, 1.87800e+0
3.07384e+0, 1.79035e+0
3.09924e+0, 1.72208e+0
3.12463e+0, 1.62941e+0
3.15003e+0, 1.53817e+0
3.17543e+0, 1.46725e+0
3.20083e+0, 1.38394e+0
3.22623e+0, 1.30340e+0
3.25163e+0, 1.24140e+0
3.27702e+0, 1.17082e+0
3.30666e+0, 1.10232e+0
3.34052e+0, 1.03382e+0
3.37862e+0, 9.64624e-1
3.42095e+0, 9.02625e-1
3.47598e+0, 8.37997e-1
3.54794e+0, 7.72723e-1
3.63260e+0, 7.13761e-1
3.72573e+0, 6.58908e-1
3.81886e+0, 6.13869e-1
3.91029e+0, 5.83499e-1
4.00173e+0, 5.72151e-1
4.09730e+0, 5.78055e-1
4.19899e+0, 6.02320e-1
4.29296e+0, 6.37521e-1
4.38609e+0, 6.82812e-1
4.47498e+0, 7.37942e-1
4.55118e+0, 7.95442e-1
4.61891e+0, 8.55296e-1
4.68240e+0, 9.15199e-1
4.74166e+0, 9.72136e-1
4.80516e+0, 1.03243e+0
4.87712e+0, 1.09225e+0
4.96178e+0, 1.15007e+0
5.05491e+0, 1.19938e+0
5.15058e+0, 1.23144e+0
5.23270e+0, 1.24817e+0
5.31509e+0, 1.25354e+0
5.40202e+0, 1.24769e+0
5.49430e+0, 1.22756e+0
5.58574e+0, 1.19490e+0
5.68141e+0, 1.14830e+0
5.77453e+0, 1.09974e+0
5.86766e+0, 1.05420e+0
5.96079e+0, 1.01419e+0
6.05307e+0, 9.78463e-1
6.15043e+0, 9.44419e-1
6.23763e+0, 9.15634e-1
6.33330e+0, 8.87880e-1
6.42763e+0, 8.68146e-1
6.52802e+0, 8.60706e-1
6.62397e+0, 8.67751e-1
6.71766e+0, 8.83804e-1
6.81022e+0, 9.03732e-1
6.90053e+0, 9.29649e-1
6.99460e+0, 9.56935e-1
7.08678e+0, 9.84502e-1
7.17991e+0, 1.01570e+0
7.27050e+0, 1.04683e+0
7.36616e+0, 1.07609e+0
7.45929e+0, 1.09526e+0
7.55242e+0, 1.10150e+0
7.64273e+0, 1.09717e+0
7.73867e+0, 1.08389e+0
7.83180e+0, 1.07011e+0
7.92408e+0, 1.05651e+0
8.01806e+0, 1.04741e+0
8.10695e+0, 1.03624e+0
8.20262e+0, 1.02026e+0
8.30026e+0, 9.97222e-1
8.38972e+0, 9.72650e-1
8.48463e+0, 9.49862e-1
8.57682e+0, 9.32668e-1
8.67841e+0, 9.20339e-1
8.76985e+0, 9.20339e-1
8.85997e+0, 9.22799e-1
8.95780e+0, 9.31410e-1
9.04387e+0, 9.34178e-1
9.14405e+0, 9.41223e-1
9.23379e+0, 9.51615e-1
9.32946e+0, 9.64901e-1
9.42682e+0, 9.82338e-1
9.51656e+0, 1.00035e+0
9.60485e+0, 1.01642e+0
9.70790e+0, 1.03216e+0
9.80441e+0, 1.04137e+0
9.89754e+0, 1.05017e+0
9.95680e+0, 1.05135e+0
1.00885e+1, 1.05934e+0
1.01769e+1, 1.06049e+0
1.02700e+1, 1.05999e+0
1.03773e+1, 1.05181e+0
1.04563e+1, 1.04388e+0
1.05579e+1, 1.02728e+0
1.06521e+1, 1.01202e+0
1.07526e+1, 9.95623e-1
1.08457e+1, 9.83998e-1
1.09262e+1, 9.81231e-1
1.10333e+1, 9.74973e-1
1.11398e+1, 9.74973e-1
1.12775e+1, 9.70159e-1
1.13706e+1, 9.70159e-1
1.14595e+1, 9.67945e-1
